"","Season","Order","Mean","SD","SE"
"1","Summer","Bacillales",5.71428571428571,5.15078753637713,2.9738085706659
"2","Summer","Bacteroidales",87.1428571428571,14.4984165215603,8.37066468154616
"3","Summer","Clostridiales",4.76190476190476,8.24786098842323,4.76190476190476
"4","Summer","Unclassified",2.38095238095238,4.12393049421161,2.38095238095238
"5","Summer","Viruses",0,0,0
"6","Winter","Bacillales",3.33333333333333,5.77350269189626,3.33333333333333
"7","Winter","Bacteroidales",87.1428571428571,14.4984165215603,8.37066468154616
"8","Winter","Clostridiales",4.76190476190476,8.24786098842323,4.76190476190476
"9","Winter","Unclassified",4.76190476190476,8.24786098842323,4.76190476190476
"10","Winter","Viruses",0,0,0
"11","Spring","Bacillales",10.3174603174603,9.01414023142901,5.20431628912857
"12","Spring","Bacteroidales",69.8412698412698,2.74928699614108,1.58730158730159
"13","Spring","Clostridiales",9.52380952380952,16.4957219768465,9.52380952380952
"14","Spring","Unclassified",10.3174603174603,9.01414023142901,5.20431628912857
"15","Spring","Viruses",0,0,0
