"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","Summer_Winter",0.0646180027165479,"GH43",0.0495346134356268,0.136948637145556,"NA","0.0493048626531899","0.00231249084506788","0.0317823587641563","0.00467907004837991"
"2","Summer_Winter",0.0438159103991881,"GH13",0.827259346562712,0.864026428632165,"NA","0.0514950834600788","0.00616074833055406","0.0597982442705978","0.00440139783346956"
"3","Summer_Winter",0.035991061105878,"GH2",0.512690760261924,0.634117519271327,"NA","0.0647600995834056","0.00299948255273147","0.0665619621991493","0.00292867511851357"
"4","Summer_Winter",0.034167197182859,"CE8",0.0495346134356268,0.136948637145556,"NA","0.0151070372193971","0.0118332650539222","0.00504580202927996","0.000839816976016662"
"5","Summer_Winter",0.031845797987778,"GH3",0.275233524074834,0.461999129697043,"NA","0.0378131174288335","0.00249142215845143","0.0348851880649096","0.00270110598524073"
"6","Summer_Winter",0.029894535242114,"CE9",0.126630457947616,0.258766587979912,"NA","0.0207345458000551","0.0094414983479049","0.0351840401853368","0.0046403166281783"
"7","Summer_Winter",0.020202806321567,"GH28",0.0495346134356268,0.136948637145556,"NA","0.0176015069810836","0.0007359542274947","0.012641367483542","0.00086646652190318"
"8","Summer_Winter",0.019556704310365,"GH78",0.0495346134356268,0.136948637145556,"NA","0.0193049948966599","0.0027570375494695","0.0146559016340955","0.000948869574944254"
"9","Summer_Winter",0.01954837891988,"CE10",0.827259346562712,0.864026428632165,"NA","0.0267414542299753","0.00255074306349154","0.0295817637281391","0.00153450590041615"
"10","Summer_Winter",0.019319030497608,"CE1",0.827259346562712,0.864026428632165,"NA","0.0309718091555117","0.000748257118845424","0.0358289628389098","0.00302137076526776"
"11","Summer_Winter",0.018773529184287,"CBM50",0.827259346562712,0.864026428632165,"NA","0.0220844236370039","0.00409712420350755","0.0274084783878025","0.00180511253643204"
"12","Summer_Winter",0.018049136421565,"GH31",0.126630457947616,0.258766587979912,"NA","0.0210797373811848","0.00201117798504976","0.0175856966463854","0.00240238620847377"
"13","Summer_Winter",0.017818733017631,"CE4",0.827259346562712,0.864026428632165,"NA","0.0185354637101768","0.0038134584140567","0.0219222922493617","0.000858902444292878"
"14","Summer_Winter",0.016867727250987,"CE6",0.0495346134356268,0.136948637145556,"NA","0.00969019432055791","0.00550990119896993","0.00506871691482725","0.000585893667931455"
"15","Summer_Winter",0.016740641020545,"GH105",0.0495346134356268,0.136948637145556,"NA","0.0153520585745858","0.00229632907489268","0.0112704117176219","0.00155097668799686"
"16","Summer_Winter",0.01671634980911,"GH25",0.275233524074834,0.461999129697043,"NA","0.0116191240862974","0.00319386202774992","0.00811136531580848","0.00179130139137026"
"17","Summer_Winter",0.016709681229004,"PL1",0.0495346134356268,0.136948637145556,"NA","0.00826062882175474","0.00127210121776697","0.00307505114765733","0.00103890043211631"
"18","Summer_Winter",0.016343196866607,"CE12",0.0495346134356268,0.136948637145556,"NA","0.0082183346115277","0.00081934253822624","0.00313503578992629","0.000496066568157383"
"19","Summer_Winter",0.0158427389664439,"GH94",0.827259346562712,0.864026428632165,"NA","0.00905397637851533","0.00459032288574336","0.00918989053633587","0.0030254746612684"
"20","Summer_Winter",0.01542755958654,"GH36",0.126630457947616,0.258766587979912,"NA","0.0182709353351227","0.000791080300580007","0.0154301275922976","0.00194424558637902"
"21","Summer_Spring",0.0568522596977992,"GH13",0.275233524074834,0.461999129697043,"NA","0.0514950834600788","0.00616074833055406","0.0604045208985938","0.00508906954637581"
"22","Summer_Spring",0.0548570883673778,"CE9",0.0495346134356268,0.136948637145556,"NA","0.0207345458000551","0.0094414983479049","0.034876100170546","0.00792781919920763"
"23","Summer_Spring",0.044194738366279,"GH2",0.512690760261924,0.634117519271327,"NA","0.0647600995834056","0.00299948255273147","0.0643951689984668","0.00408570328402661"
"24","Summer_Spring",0.035962706729446,"GH3",0.512690760261924,0.634117519271327,"NA","0.0378131174288335","0.00249142215845143","0.0435249480668584","0.0011861081309532"
"25","Summer_Spring",0.035379159870944,"GH1",0.0495346134356268,0.136948637145556,"NA","0.00574020014206074","0.00266345163812244","0.0162052172197176","0.00798976870032097"
"26","Summer_Spring",0.028699282953296,"CE8",0.512690760261924,0.634117519271327,"NA","0.0151070372193971","0.0118332650539222","0.00644493182821793","0.00170045095073661"
"27","Summer_Spring",0.026480712564046,"CE4",0.275233524074834,0.461999129697043,"NA","0.0185354637101768","0.0038134584140567","0.0235292546301262","0.00458607527535685"
"28","Summer_Spring",0.025805416323741,"GH43",0.827259346562712,0.864026428632165,"NA","0.0493048626531899","0.00231249084506788","0.0445632249654566","0.00429832603389267"
"29","Summer_Spring",0.025255862871759,"CE1",0.275233524074834,0.461999129697043,"NA","0.0309718091555117","0.000748257118845424","0.0333594128192755","0.00501055111160825"
"30","Summer_Spring",0.022730206493483,"CE10",0.512690760261924,0.634117519271327,"NA","0.0267414542299753","0.00255074306349154","0.0262418600580498","0.00180143861177025"
