ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_19	GH27.hmm	1.8e-50	42.214131	NODE_1_length_589117_cov_42.214131_19
_22	GH13_8.hmm	7.1e-136	42.214131	NODE_1_length_589117_cov_42.214131_22
_56	GT41.hmm	9.4e-40	42.214131	NODE_1_length_589117_cov_42.214131_56
_95	CBM50.hmm	3.1e-27	42.214131	NODE_1_length_589117_cov_42.214131_95
_129	CBM50.hmm	6.2e-12	42.214131	NODE_1_length_589117_cov_42.214131_129
_134	GH20.hmm	1.6e-54	42.214131	NODE_1_length_589117_cov_42.214131_134
_175	CE8.hmm	4.3e-87	42.214131	NODE_1_length_589117_cov_42.214131_175
_183	GH84.hmm	1.1e-103	42.214131	NODE_1_length_589117_cov_42.214131_183
_185	CE1.hmm	3.7e-19	42.214131	NODE_1_length_589117_cov_42.214131_185
_197	GH105.hmm	4.8e-106	42.214131	NODE_1_length_589117_cov_42.214131_197
_198	CE8.hmm	7.3e-90	42.214131	NODE_1_length_589117_cov_42.214131_198
_199	GH28.hmm	1.5e-82	42.214131	NODE_1_length_589117_cov_42.214131_199
_271	PL22_1.hmm	8.1e-06	42.214131	NODE_1_length_589117_cov_42.214131_271
_317	CE3.hmm	7.2e-17	42.214131	NODE_1_length_589117_cov_42.214131_317
_341	GH57.hmm	9.4e-69	42.214131	NODE_1_length_589117_cov_42.214131_341
_342	GT5.hmm	5e-35	42.214131	NODE_1_length_589117_cov_42.214131_342
_343	GH133.hmm	1e-88	42.214131	NODE_1_length_589117_cov_42.214131_343
_344	GT3.hmm	1e-179	42.214131	NODE_1_length_589117_cov_42.214131_344
_378	PL11_1.hmm	2.5e-251	42.214131	NODE_1_length_589117_cov_42.214131_378
_387	AA3_1.hmm	1.7e-07	42.214131	NODE_1_length_589117_cov_42.214131_387
_389	GH33.hmm	3.5e-78	42.214131	NODE_1_length_589117_cov_42.214131_389
_400	GH2.hmm	2.5e-210	42.214131	NODE_1_length_589117_cov_42.214131_400
_407	AA6.hmm	8.8e-09	42.214131	NODE_1_length_589117_cov_42.214131_407
_424	AA5.hmm	4.9e-15	42.214131	NODE_1_length_589117_cov_42.214131_424
_425	GH76.hmm	3.7e-09	42.214131	NODE_1_length_589117_cov_42.214131_425
_437	GT4.hmm	4.1e-18	42.214131	NODE_1_length_589117_cov_42.214131_437
_442	PL22.hmm	1.8e-21	42.214131	NODE_1_length_589117_cov_42.214131_442
_450	CE2.hmm	1e-07	42.214131	NODE_1_length_589117_cov_42.214131_450
_452	GH109.hmm	2.6e-53	42.214131	NODE_1_length_589117_cov_42.214131_452
_495	GH43_4.hmm	3.8e-92	29.196070	NODE_2_length_523213_cov_29.196070_19
_498	GH77.hmm	1.9e-149	29.196070	NODE_2_length_523213_cov_29.196070_22
_520	GH127.hmm	1.8e-222	29.196070	NODE_2_length_523213_cov_29.196070_44
_558	CBM51.hmm	1.3e-10	29.196070	NODE_2_length_523213_cov_29.196070_82
_610	CE9.hmm	3.4e-06	29.196070	NODE_2_length_523213_cov_29.196070_134
_630	GH3.hmm	1.6e-66	29.196070	NODE_2_length_523213_cov_29.196070_154
_668	GH20.hmm	1.6e-105	29.196070	NODE_2_length_523213_cov_29.196070_192
_669	GH18.hmm	2.4e-31	29.196070	NODE_2_length_523213_cov_29.196070_193
_772	CBM16.hmm	7.9e-13	29.196070	NODE_2_length_523213_cov_29.196070_296
_777	GH19.hmm	2.8e-19	29.196070	NODE_2_length_523213_cov_29.196070_301
