ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_24	GH25.hmm	1.8e-44	8.434957	NODE_1_length_503382_cov_8.434957_24
_42	GH73.hmm	4.6e-22	8.434957	NODE_1_length_503382_cov_8.434957_42
_60	CBM50.hmm	1.3e-10	8.434957	NODE_1_length_503382_cov_8.434957_60
_77	GT9.hmm	2.8e-33	8.434957	NODE_1_length_503382_cov_8.434957_77
_81	GT2_Glycos_transf_2.hmm	3.6e-24	8.434957	NODE_1_length_503382_cov_8.434957_81
_82	GT2_Glycos_transf_2.hmm	2e-06	8.434957	NODE_1_length_503382_cov_8.434957_82
_83	GT2_Glycos_transf_2.hmm	5.8e-20	8.434957	NODE_1_length_503382_cov_8.434957_83
_90	GT26.hmm	7.2e-63	8.434957	NODE_1_length_503382_cov_8.434957_90
_92	GT4.hmm	1.5e-33	8.434957	NODE_1_length_503382_cov_8.434957_92
_94	GT13.hmm	6.5e-13	8.434957	NODE_1_length_503382_cov_8.434957_94
_95	GT4.hmm	1.4e-21	8.434957	NODE_1_length_503382_cov_8.434957_95
_98	GT8.hmm	2.2e-06	8.434957	NODE_1_length_503382_cov_8.434957_98
_99	GT23.hmm	6.2e-27	8.434957	NODE_1_length_503382_cov_8.434957_99
_103	GT2_Glycos_transf_2.hmm	3.7e-16	8.434957	NODE_1_length_503382_cov_8.434957_103
_104	GH4.hmm	8.9e-06	8.434957	NODE_1_length_503382_cov_8.434957_104
_106	GT2_Glycos_transf_2.hmm	7.1e-35	8.434957	NODE_1_length_503382_cov_8.434957_106
_114	CE3.hmm	3.5e-09	8.434957	NODE_1_length_503382_cov_8.434957_114
_121	CE8.hmm	6.7e-10	8.434957	NODE_1_length_503382_cov_8.434957_121
_123	AA3_1.hmm	6.9e-06	8.434957	NODE_1_length_503382_cov_8.434957_123
_149	GT2_Glycos_transf_2.hmm	5.8e-36	8.434957	NODE_1_length_503382_cov_8.434957_149
_150	GT2_Glycos_transf_2.hmm	7.1e-20	8.434957	NODE_1_length_503382_cov_8.434957_150
